GUID,类型,ID,名称,组,最小值,默认值,最大值,循环,描述
,PARAMETER,CAT_KEY_8,CAT_KEY_8,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_9,CAT_KEY_9,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_0,CAT_KEY_0,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_MINUS,CAT_KEY_MINUS,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_EQUALS,CAT_KEY_EQUALS,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_BACKSPACE,CAT_KEY_BACKSPACE,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_TAB,CAT_KEY_TAB,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_Q,CAT_KEY_Q,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_W,CAT_KEY_W,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_E,CAT_KEY_E,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_R,CAT_KEY_R,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_T,CAT_KEY_T,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_Y,CAT_KEY_Y,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_U,CAT_KEY_U,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_I,CAT_KEY_I,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_O,CAT_KEY_O,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_P,CAT_KEY_P,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_LBRACKET,CAT_KEY_LBRACKET,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_RBRACKET,CAT_KEY_RBRACKET,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_BACKSLASH,CAT_KEY_BACKSLASH,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_CAPS,CAT_KEY_CAPS,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_A,CAT_KEY_A,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_S,CAT_KEY_S,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_D,CAT_KEY_D,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_F,CAT_KEY_F,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_G,CAT_KEY_G,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_H,CAT_KEY_H,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_J,CAT_KEY_J,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_K,CAT_KEY_K,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_L,CAT_KEY_L,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_SEMICOLON,CAT_KEY_SEMICOLON,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_APOSTROPHE,CAT_KEY_APOSTROPHE,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_ENTER,CAT_KEY_ENTER,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_LSHIFT,CAT_KEY_LSHIFT,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_Z,CAT_KEY_Z,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_X,CAT_KEY_X,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_C,CAT_KEY_C,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_V,CAT_KEY_V,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_B,CAT_KEY_B,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_N,CAT_KEY_N,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_M,CAT_KEY_M,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_COMMA,CAT_KEY_COMMA,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_PERIOD,CAT_KEY_PERIOD,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_SLASH,CAT_KEY_SLASH,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_UP,CAT_KEY_UP,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_RSHIFT,CAT_KEY_RSHIFT,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_LCTRL,CAT_KEY_LCTRL,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_WIN,CAT_KEY_WIN,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_LALT,CAT_KEY_LALT,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_SPACE,CAT_KEY_SPACE,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_RALT,CAT_KEY_RALT,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_MENU,CAT_KEY_MENU,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_RCTRL,CAT_KEY_RCTRL,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_LEFT,CAT_KEY_LEFT,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_DOWN,CAT_KEY_DOWN,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_RIGHT,CAT_KEY_RIGHT,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_NUM,CAT_KEY_NUM,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_NUM_DIVIDE,CAT_KEY_NUM_DIVIDE,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_NUM_MULTIPLY,CAT_KEY_NUM_MULTIPLY,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_NUM_SUBTRACT,CAT_KEY_NUM_SUBTRACT,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_NUM_7,CAT_KEY_NUM_7,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_NUM_8,CAT_KEY_NUM_8,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_NUM_9,CAT_KEY_NUM_9,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_NUM_ADD,CAT_KEY_NUM_ADD,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_NUM_4,CAT_KEY_NUM_4,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_NUM_5,CAT_KEY_NUM_5,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_NUM_6,CAT_KEY_NUM_6,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_NUM_1,CAT_KEY_NUM_1,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_NUM_2,CAT_KEY_NUM_2,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_NUM_3,CAT_KEY_NUM_3,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_NUM_ENTER,CAT_KEY_NUM_ENTER,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_NUM_0,CAT_KEY_NUM_0,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_NUM_DECIMAL,CAT_KEY_NUM_DECIMAL,KeyboardButtons,0,0,1,FALSE,
